epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.88,0.68558,3.46646,1.2124,0.72565,0.09394,0.21059,0.1546,0.77914,3.65352,1.43715,0.000234394,0.000234394,0.000234394
2,588.641,0.77367,2.74924,1.26829,0.30864,0.38435,0.27723,0.17895,1.13505,3.32408,1.83562,0.000465713,0.000465713,0.000465713
3,881.285,0.7851,2.39158,1.26021,0.52656,0.41218,0.42597,0.27288,1.09935,3.70727,1.94823,0.0006903,0.0006903,0.0006903
4,1177.14,0.78816,2.24381,1.25733,0.38551,0.29225,0.30525,0.19576,1.12977,3.30707,1.79988,0.000683706,0.000683706,0.000683706
5,1475.7,0.75156,2.00025,1.22989,0.4044,0.39668,0.4287,0.29216,0.98207,2.85715,1.7048,0.000673608,0.000673608,0.000673608
6,1765.43,0.74978,1.94286,1.22149,0.41828,0.45779,0.46716,0.32818,0.92096,2.53256,1.58807,0.00066351,0.00066351,0.00066351
7,2057.01,0.72562,1.79106,1.20459,0.55004,0.58059,0.61382,0.45662,0.89352,2.29993,1.55888,0.000653412,0.000653412,0.000653412
8,2348.38,0.71455,1.68242,1.17472,0.67241,0.53223,0.63877,0.45013,1.05673,2.14131,1.75375,0.000643314,0.000643314,0.000643314
9,2635.89,0.68003,1.5886,1.16896,0.57782,0.61701,0.63409,0.46289,0.9711,2.12194,1.58177,0.000633216,0.000633216,0.000633216
10,2919.38,0.63948,1.497,1.14082,0.47433,0.67873,0.56608,0.41177,0.9032,2.26786,1.57257,0.000623118,0.000623118,0.000623118
11,3181.62,0.63959,1.45994,1.14146,0.58985,0.59052,0.67,0.49213,0.92382,1.84101,1.60562,0.00061302,0.00061302,0.00061302
12,3441.27,0.64096,1.38791,1.14557,0.56846,0.69157,0.69848,0.52844,0.94515,1.82481,1.55366,0.000602922,0.000602922,0.000602922
13,3700.8,0.64496,1.38904,1.13314,0.58421,0.68825,0.64725,0.46733,0.91568,1.77871,1.57208,0.000592824,0.000592824,0.000592824
14,3961.89,0.62616,1.25954,1.12533,0.61746,0.65499,0.69209,0.50761,0.90713,1.89902,1.59774,0.000582726,0.000582726,0.000582726
15,4224.3,0.60343,1.21308,1.10796,0.78204,0.56427,0.70048,0.51131,0.896,1.65054,1.51816,0.000572628,0.000572628,0.000572628
16,4488.39,0.57967,1.14649,1.0869,0.66965,0.68213,0.72734,0.55046,0.92202,1.61511,1.50615,0.00056253,0.00056253,0.00056253
17,4753.21,0.58994,1.14184,1.09517,0.64235,0.66236,0.71434,0.57371,0.81736,1.50031,1.40882,0.000552432,0.000552432,0.000552432
18,5020.59,0.58945,1.12066,1.09911,0.75134,0.66022,0.75171,0.56455,0.90861,1.48593,1.57066,0.000542334,0.000542334,0.000542334
19,5315.73,0.57262,1.11983,1.08573,0.82574,0.64324,0.75052,0.5744,0.85007,1.42306,1.49907,0.000532236,0.000532236,0.000532236
20,5610.85,0.57458,1.08883,1.08802,0.67192,0.73877,0.75549,0.58031,0.85463,1.43476,1.50904,0.000522138,0.000522138,0.000522138
21,5905.95,0.57092,1.0373,1.08418,0.71067,0.672,0.72051,0.57711,0.83982,1.69665,1.46419,0.00051204,0.00051204,0.00051204
22,6194.93,0.55834,1.01474,1.07049,0.70752,0.6101,0.72969,0.56827,0.81533,1.58743,1.44713,0.000501942,0.000501942,0.000501942
23,6491.71,0.54161,0.99281,1.06423,0.59977,0.7916,0.75155,0.58513,0.86953,1.37029,1.49091,0.000491844,0.000491844,0.000491844
24,6787.56,0.55334,0.96177,1.06722,0.76371,0.58782,0.70637,0.53635,0.91057,1.46382,1.52589,0.000481746,0.000481746,0.000481746
25,7085.95,0.53978,0.94108,1.06122,0.66,0.71767,0.71374,0.56887,0.81157,1.43511,1.3939,0.000471648,0.000471648,0.000471648
26,7386.62,0.56883,0.94232,1.08016,0.74295,0.64448,0.73393,0.56697,0.8181,1.41778,1.39694,0.00046155,0.00046155,0.00046155
27,7687.17,0.52062,0.88644,1.05528,0.8081,0.71202,0.80151,0.63025,0.80174,1.33108,1.428,0.000451452,0.000451452,0.000451452
28,7981.93,0.51888,0.87077,1.04886,0.75221,0.66208,0.75129,0.56147,0.86136,1.29035,1.4738,0.000441354,0.000441354,0.000441354
29,8263.76,0.50712,0.83859,1.04499,0.73665,0.72947,0.74728,0.58426,0.84168,1.38194,1.48101,0.000431256,0.000431256,0.000431256
30,8549.53,0.49826,0.83431,1.03517,0.74624,0.69667,0.78419,0.59691,0.77674,1.42427,1.37835,0.000421158,0.000421158,0.000421158
